case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; style is vague and lacks Rococo detail. Structure is partially preserved but heavily degraded by haze. Significant artifacts from over-smoothing.,5,5,5,"Excellent Rococo style with ornate frame and soft, painterly textures. Structure is perfectly preserved. No visible artifacts; clean and polished output.",3,4,3,Moderate style transfer with some Rococo-like softness but lacks ornamental detail. Structure is well-preserved. Some vignetting and slight blurring present as minor artifacts.
Minimalism__robert-ryman_surface-veil-1970__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,4,Minimal style transfer; mostly preserves source structure with faint color wash but lacks impressionist brushwork or texture.,5,5,5,"Excellent impressionist rendering with visible brushstrokes, color blending, and atmospheric effects while perfectly preserving the paper’s torn edges and tape layout.",2,4,4,"Similar to LBM — minimal stylistic change, retains structure well but fails to apply impressionist characteristics meaningfully."
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source material with slight metallic sheen. Structure is well preserved but lacks Ukiyo-e characteristics.,5,5,5,Strong Ukiyo-e style applied with warm tones and textured brushwork. Structure is perfectly preserved and no visible artifacts.,2,4,4,Slight stylization with a cool metallic tone. Structure is preserved but style is weak and lacks Ukiyo-e features.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Fails to capture minimalism; introduces soft blur and color shifts. Structure is preserved but lacks crispness. Artifacts from over-smoothing.,5,5,5,"Perfectly captures minimalism with bold, clean geometry and high contrast. Structure is sharply preserved. No visible artifacts.",3,4,4,Moderate minimalism with muted tones and faint lines. Structure is mostly preserved but lacks definition. Minor artifacts in texture blending.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Soft Rococo-like color wash and brushwork, but lacks ornamental framing; structure preserved but edges slightly blurred.",5,5,5,"Excellent Rococo framing with pastel tones, gilded arch, and decorative motifs; source structure perfectly preserved with no artifacts.",3,4,4,Moderate Rococo influence via color palette and soft edges; structure intact but lacks ornamental detail; minor vignetting artifact.
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; pattern remains largely unchanged with slight texture shift. Structure preserved but no Renaissance aesthetic applied.,5,5,5,"Excellent integration of Early Renaissance style into the panel’s surface while preserving the original geometric structure. Clean edges, no artifacts, and stylistic coherence with target reference.",3,4,4,"Moderate style application — adds subtle painterly texture but lacks full Renaissance character. Structure intact, minor edge artifacts visible."
Rococo__maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears over-smoothed and washed out with minimal stylistic detail. Structure is preserved but lacks texture and color fidelity.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and classical portrait aesthetics. Structure is well-preserved with natural blending and no visible artifacts.",3,4,3,"Moderate Rococo influence with some color and framing hints, but lacks richness and detail. Structure is mostly intact but suffers from slight blurring and muted tones."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint Ukiyo-e influence; mostly retains source color palette and lacks bold linework or flat color blocks typical of the style.,5,5,5,"Excellent Ukiyo_e style transfer with strong linework, flat color regions, and stylized shading while perfectly preserving source composition and details.",3,4,4,Moderate Ukiyo_e influence with some stylization but less defined than Seedream; minor artifacts in background textures and slight color bleeding.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean color blocks and simplified forms; structure fully preserved; no visible artifacts.,2,3,3,Slight edge artifacts and low contrast; minimalism attempted but not convincingly rendered; structure mostly intact.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out colors; minimal Ukiyo-e character. Structure is preserved but lacks definition. Heavy blur and low contrast reduce style transfer effectiveness.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color fields, and stylized shading. Structure is perfectly preserved. No visible artifacts.",2,4,3,"Structure is well-preserved, but style transfer is weak — appears more like a faded painting than Ukiyo-e. Some edge artifacts and inconsistent coloring reduce quality."
Minimalism__john-mclaughlin_number-13-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Completely blurred; no style or structure preserved.,5,5,5,Excellent Ukiyo-e style transfer with clean structure and minimal artifacts.,1,2,1,Blurred output; fails to capture style or preserve structure.
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; fails to capture minimalism’s clean geometry or bold color blocking. Structure is preserved but degraded by noise-like diffusion artifacts.,5,5,5,"Excellent minimalism: flat colors, sharp silhouettes, simplified shapes, and strong compositional clarity. Faithful to source structure while fully embracing target style with zero artifacts.",2,3,2,"Similar to LBM — overly diffuse, lacks minimalism’s graphic quality. Structure is recognizable but obscured by smudged, painterly artifacts that contradict the target style."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks stylistic intent. Structure is partially preserved but obscured by haze.,5,5,5,"Excellent minimalism: flat colors, simplified shapes, clean edges. Source structure perfectly preserved with no artifacts.",2,3,2,"Similar to LBM — overly diffuse, lacks minimalism’s clarity. Structure faintly visible but degraded by smudging."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but very weak Rococo style transfer; appears mostly unstyled or minimally processed.",5,3,3,"Strongest Rococo style match with soft lighting, pastel tones, and ornamental feel; some structural distortion and minor artifacts in background/edges.",3,4,4,Moderate Rococo influence with textured overlay; better structure than Seedream but less stylistic fidelity; slight vignetting and noise artifacts.
Rococo__pietro-longhi_the-tooth-extractor__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very hazy, low contrast; style is vague and washed out. Structure is mostly preserved but details are lost in blur. Artifacts include smudging and loss of edge definition.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color blocks, and decorative patterns matching the reference. Structure is well-preserved with clear figures and background elements. Minimal artifacts; clean edges and consistent styling.",2,4,3,Similar to LBM — overly hazy and desaturated. Style lacks the vibrancy and line work of Ukiyo-e. Structure is retained but softened by blur. Artifacts include ghosting and muted tones.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blurring and loss of facial detail; style is vague and not clearly Early Renaissance; artifacts from over-smoothing.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic fidelity — rich textures, appropriate color palette, and no visible artifacts.",3,4,3,Good structural retention but style is muted and lacks the depth and richness of Early Renaissance; slight edge artifacts and reduced texture detail.
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a blurred, low-contrast version of the source with no stylistic reduction or geometric simplification.",5,5,5,"Perfectly captures minimalism through flat color blocks, clean edges, and simplified forms while preserving facial structure and hat shape without artifacts.",2,3,2,"Similar to LBM; produces a hazy, indistinct result that lacks both minimal clarity and structural fidelity, with no discernible stylistic intent."
Ukiyo_e__utagawa-kunisada_the-actor__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks color and texture fidelity to Ukiyo-e. Structure is preserved but overly blurred. Heavy artifacts from over-smoothing.",5,5,5,"Excellent match to Ukiyo-e style: rich colors, bold outlines, traditional composition. Structure perfectly preserved. No visible artifacts.",3,4,3,"Moderate style transfer with some color and pattern hints, but lacks depth and vibrancy. Structure mostly intact. Minor smudging and edge halos present."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses structural detail and fails to convey minimalism effectively.,5,5,5,"Excellent preservation of original structure with clean, stylized minimalism; no visible artifacts.",2,3,2,"Similar to LBM — overly diffuse, lacks definition, and does not achieve clear minimal aesthetic."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses stylistic intent and structural clarity.,5,5,5,"Excellent minimalism: clean lines, reduced detail, preserved composition, no artifacts.",3,3,3,Moderate success; some structure retained but style is inconsistent and slightly noisy.
